,Name,ICAO,Callsign,Country,Active
1737,Chartright Air,HRT,CHARTRIGHT,Canada,N
1738,Chautauqua Airlines,CHQ,CHAUTAUQUA,United States,Y
1739,Cheboksary Airenterprise JSC,CBB,CHEBAIR,Russia,N
1740,Chemech Aviation,CHM,,Pakistan,N
1741,Cherline,CHZ,CHERL,Russia,N
1742,Chernomor-Avia,CMK,CHERAVIA,Russia,N
1743,Cherokee Express,CBM,BLUE MAX,United States,N
1744,Cherry Air,CCY,CHERRY,United States,N
1745,Chesapeake Air Service,CAB,CHESAPEAKE AIR,United States,N
1746,Chevron U.S.A,CVR,CHEVRON,United States,N
1747,Cheyenne Airways,CYA,CHEYENNE AIR,United States,N
1748,Chicago Air,CGO,WILD ONION,United States,N
1749,Chicago Express,WDY,WINDY CITY,United States,N
1750,Chief Rat Flight Services,RAT,RIVERRAT,South Africa,N
1751,Chilchota Taxi Aereo,CCH,CHILCHOTA,Mexico,N
1752,Chilcotin Caribou Aviation,DES,CHILCOTIN,Canada,N
1753,Chilliwack Aviation,CAD,CHILLIWACKAIR,Canada,N
1754,Chim-Nir Aviation,ETN,CHMINIR,Israel,N
1755,China Airlines,CAL,DYNASTY,Taiwan,Y
1756,China Cargo Airlines,CKK,CARGO KING,China,N
1757,China Eastern Airlines,CES,CHINA EASTERN,China,Y
1758,China Express Airlines,HXA,CHINA EXPRESS,China,N
1759,China Flying Dragon Aviation,CFA,FEILONG,China,N
1760,China General Aviation Corporation,CTH,TONGHANG,China,N
1761,China National Aviation Corporation,CAG,CHINA NATIONAL,China,N
1762,China Northern Airlines,CBF,CHINA NORTHERN,China,N
1763,China Northwest Airlines,CNW,CHINA NORTHWEST,China,N
1764,China Ocean Helicopter Corporation,CHC,CHINA HELICOPTER,China,N
1765,China Postal Airlines,CYZ,CHINA POST,China,N
1766,China Southern Airlines,CSN,CHINA SOUTHERN,China,Y
1767,China Southwest Airlines,CXN,CHINA SOUTHWEST,China,N
1768,China United Airlines,CUA,LIANHANG,China,Y
1769,China Xinhua Airlines,CXH,XINHUA,China,N
1770,Yunnan Airlines,CYH,YUNNAN,China,Y
1771,Chinguetti Airlines,CGU,CHINGUETTI,Mauritania,N
1772,Chipola Aviation,CEP,CHIPOLA,United States,N
1773,Chippewa Air Commuter,CPW,CHIPPEWA-AIR,United States,N
1774,Chitaavia,CHF,CHITA,Russia,N
1775,Christman Air System,CAS,CHRISTMAN,United States,N
1776,Christophorus Flugrettungsverein,OEC,CHRISTOPHORUS,Austria,N
1777,Chrome Air Services,CHO,CHROME AIR,United States,N
1778,Church Aircraft,CHU,CHURCHAIR,United States,N
1779,Cielos Airlines,CIU,CIELOS,Peru,N
1780,Cimber Air,CIM,CIMBER,Denmark,Y
1781,Cirrus,RRU,HELICIRRUS,Chile,N
1782,Cirrus Air,NTS,NITE STAR,United States,N
1783,Cirrus Airlines,RUS,CIRRUS AIR,Germany,Y
1784,Cirrus Middle East,JTI,,Lebanon,N
1785,Citationshares,FIV,FIVE STAR,United States,N
1786,Citibank,XCX,,United States,N
1787,Citic General Aviation,HZX,ZHONGXIN,China,N
1788,City Airline,SDR,SWEDESTAR,Sweden,Y
1789,City Connexion Airlines,CIX,CONNEXION,Burundi,Y
1790,City of Bangor,XBG,,United States,N
1791,CityJet,BCY,CITY-IRELAND,Ireland,Y
1792,Cityair (Chester) Limited,CAQ,AIR CHESTER,United Kingdom,N
1793,Cityfly,CII,CITYFLY,Italy,N
1794,BA CityFlyer,CFE,FLYER,United Kingdom,Y
1795,Cityline Hungary,CNB,CITYHUN,Hungary,N
1796,Citylink Airlines,HSR,HOOSIER,United States,N
1797,Civair Airways,CIW,CIVFLIGHT,South Africa,N
1798,Civil Air Patrol South Carolina Wing,BKR,BOX KAR,United States,N
1799,Civil Air Transport,CAT,Mandarin,Taiwan,N
1800,Civil Aviation Authority,CIA,CALIMERA,Slovakia,N
1801,Civil Aviation Authority of New Zealand,CIV,CIVAIR,New Zealand,N
1802,Civil Aviation Inspectorate of the Czech Republic,CBA,CALIBRA,Czech Republic,N
1803,Claessens International Limited,FMC,CLAESSENS,United Kingdom,N
1804,Clark Aviation,CLK,CLARKAIR,United States,N
1805,Clasair,CSF,CALEDONIAN,United Kingdom,N
1806,Clay Lacy Aviation,CLY,CLAY-LACY,United States,N
1807,Click Airways,CGK,CLICK AIR,Kyrgyzstan,Y
1808,Cloud 9 Air Charters,CLZ,CLOUDLINE,South Africa,N
1809,Clowes Estates Limited,CLD,CLOWES,United Kingdom,N
1810,Club 328,SDJ,SPACEJET,United Kingdom,N
1811,Club Air,ISG,CLUBAIR,Italy,N
1812,Coast Air,CST,COAST CENTER,Norway,N
1813,Coastal Air,,U.S. Virgin Islands,United States,Y
1814,Coastal Air Transport,TCL,TRANS COASTAL,United States,N
1815,Coastal Airways,CNG,SID-AIR,United States,N
1816,Coastal Travels,CSV,COASTAL TRAVEL,Tanzania,N
1817,Cohlmia Aviation,CHL,COHLMIA,United States,N
1818,Colaereos,OLR,COLAEREOS,Ecuador,N
1819,Colemill Enterprises,CLE,COLEMILL,United States,N
1820,Colgan Air,CJC,COLGAN,United States,Y
1821,Colibri Aviation,CAE,HUMMINGBIRD,Canada,N
1822,Colt International,CCX,,United States,N
1823,Columbia Airlines,COL,COLAIR,Canada,N
1824,Columbia Helicopters,WCO,COLUMBIA HELI,United States,N
1825,Columbus Air Transport,KLR,KAY-LER,United States,N
1826,Colvin Aviation,GHP,GRASSHOPPER EX,United States,N
1827,Comair,COM,COMAIR,United States,Y
1828,Comair,CAW,COMMERCIAL,South Africa,Y
1829,Comed Group,CDE,COMEX,United Kingdom,N
1830,Comeravia,CVV,COMERAVIA,Venezuela,N
1831,Comercial Aerea,CRS,COMERCIAL AEREA,Mexico,N
1832,Comet Airlines,CMG,SUNSPY,Nigeria,N
1833,Comfort Air,FYN,FLYNN,Germany,N
1834,Comlux Aviation,CLA,COMLUX,Switzerland,N
1835,Commair Aviation,CMH,COMMODORE,United Kingdom,N
1836,Commandement Du Transport Aerien Militaire Francais,CTM,COTAM,France,N
1837,Commander Air Charter,CML,COMMANDAIR,Canada,N
1838,Commander Mexicana,CRM,COMMANDERMEX,Mexico,N
1839,Commercial Aviation,CMS,ACCESS,Canada,N
1840,Commodore Aviation,GAR,,Australia,N
1841,Commonwealth Jet Service,CJS,COMMONWEALTH,United States,N
1842,CommutAir,UCA,COMMUTAIR,United States,Y
1843,Comores Airlines,CWK,CONTICOM,Comoros,Y
1844,Compagnia Generale Ripreseaeree,CGR,COMPRIP,Italy,N
1845,Compagnie Aerienne du Mali,CMM,CAMALI,Mali,N
1846,Compagnie Mauritanienne Des Transports,CPM,,Mauritania,N
1847,Compagnie de Bauxites de Guinee,GIC,CEBEGE,Guinea,N
1848,Compania Aerea de Valencia,AIF,,Spain,N
1849,Compania Aerotecnicas Fotograficas,ATF,AEROTECNICAS,Spain,N
1850,Compania Boliviana de Transporte Aereo Privado Aerosur,ASU, S.A.,ASUR,N
1851,Compania De Actividades Y Servicios De Aviacion,LCT,STELLAIR,Spain,N
1852,Compania Ejecutiva,EJV,EJECUTIVA,Mexico,N
1853,Compania Helicopteros Del Sureste,HSE,HELISURESTE,Spain,N
1854,Compania Mexicana De Aeroplanos,MDR,AEROPLANOS,Mexico,N
1855,Compania Mexicargo,MXC,MEXICARGO,Mexico,N
1856,Compania Transportes Aereos Del Sur,HSS,TAS HELICOPTEROS,Spain,N
1857,Compania de Servicios Aereos Tavisa,TAV,TAVISA,Spain,N
1858,Company Flight,CYF,COMPANY FLIGHT,Denmark,N
1859,Compass Airlines,CPZ,Compass Rose,United States,Y
1860,Compass International Airways,CPS,COMPASS,United Kingdom,N
1861,Compuflight Operations Service,XCO,,United States,N
1862,Compuserve Incorporated,XCS,,United States,N
1863,Conair Aviation,CRC,CONAIR-CANADA,Canada,N
1864,Concordavia,COD,CONCORDAVIA,Ukraine,N
1865,Condor Aero Services,CNR,CONAERO,United States,N
1866,Condor,CIB,CONDOR BERLIN,Germany,N
1867,Condor Flugdienst,CFG,CONDOR,Germany,Y
1868,Confort Air,COF,CONFORT,Canada,N
1869,Congo Air,CAK,,Bahamas,N
1870,Congressional Air,CGA,CONGRESSIONAL,United States,N
1871,Conifair Aviation,ROY,,Canada,N
1872,Connectair Charters,BSN,BASTION,Canada,N
1873,Conquest Airlines,CAC,CONQUEST AIR,United States,N
1874,Conroe Aviation Services,CXO,CONROE AIR,United States,N
1875,Consorcio Aviaxsa,CHP,AVIACSA,Mexico,Y
1876,Consorcio Helitec,VCH,CONSORCIO HELITEC,Venezuela,N
1877,Constanta Airline,UZA,CONSTANTA,Ukraine,N
1878,Contact Air,KIS,CONTACTAIR,Germany,Y
1879,Contel ASC,XCL,,United States,N
1880,Continental Airlines,COA,CONTINENTAL,United States,Y
1881,Continental Airways,PVV,CONTAIR,Russia,N
1882,Continental Express,,JETLINK,United States,Y
1883,Continental Micronesia,CMI,AIR MIKE,United States,Y
1884,Continental Oil,CON,CONOCO,United States,N
1885,Conviasa,VCV,CONVIASA,Venezuela,Y
1886,Cook Inlet Aviation,CKA,COOK-AIR,United States,N
1887,Cooper Aerial Surveys,SVY,SURVEYOR,United Kingdom,N
1888,Copa Airlines,CMP,COPA,Panama,Y
1889,Copenhagen Airtaxi,CAT,AIRCAT,Denmark,N
1890,Copper State Air Service,COP,COPPER STATE,United States,N
1891,Copterline,AAQ,COPTERLINE,Finland,Y
1892,Coptrade Air Transport,CCW,COPTRADE AIR,Sudan,N
1893,Corendon Airlines,CAI,CORENDON,Turkey,Y
1894,Coronado Aerolineas,CRA,CORAL,Colombia,N
1895,Corpac Canada,CPB,PENTA,Canada,N
1896,Corporacion Aereo Cencor,CNC,CENCOR,Mexico,N
1897,Corporacion Aeroangeles,CPG,CORPORANG,Mexico,N
1898,Corporacion Paraguaya De Aeronautica,CGY,,Paraguay,N
1899,Corporate Air,CPT,AIR SPUR,United States,N
1900,Corporate Air,CPR,CORPAIR,United States,N
1901,Corporate Aircraft Company,CPO,MOKAN,United States,N
1902,Corporate Airlink,COO,CORPORATE,Canada,N
1903,Corporate Aviation Services,CKE,CHECKMATE,United States,N
1904,Corporate Flight International,VHT,VEGAS HEAT,United States,N
1905,Corporate Flight Management,VTE,VOLUNTEER,United States,N
1906,Corporate Jets,CJI,SEA JET,United States,N
1907,Corsairfly,CRL,CORSAIR,France,Y
1908,Corse-Mediterranee,CCM,CORSICA,France,Y
1909,Cosmic Air,COZ,COSMIC AIR,Nepal,N
1910,Cougar Helicopters,CHI,COUGAR,Canada,N
1911,Coulson Flying Service,MGB,MOCKINGBIRD,United Kingdom,N
1912,Country Connection Airlines,NSW,,Australia,N
1913,Country International Airlines,CIK,COUNTRY AIR,Kyrgyzstan,N
1914,Courier Services,CSD,DELIVERY,United States,N
1915,Court Helicopters,CUT,COURT AIR,South Africa,N
1916,Coval Air,CVL,COVAL,Canada,N
1917,Cowi,COW,COWI,Netherlands,N
1918,Coyne Aviation,COY,COYNE AIR,United Kingdom,N
1919,Cranfield University,CFD,AERONAUT,United Kingdom,N
1920,Cree Airways,CRE,CREE AIR,Canada,N
1921,Crelam,ELM,CRELAM,Mexico,N
1922,Crest Aviation,CAN,CREST,United Kingdom,Y
1923,Crimea Universal Avia,KRM,TRANS UNIVERSAL,Ukraine,N
1924,Croatia Airlines,CTN,CROATIA,Croatia,Y
1925,Croatian Air Force,HRZ,CROATIAN AIRFORCE,Croatia,N
1926,Cross Aviation,CRX,CROSSAIR,United Kingdom,N
1927,Crossair Europe,ECC,Cigogne,Switzerland,N
1928,Crow Executive Air,CWX,CROW EXPRESS,United States,N
1929,Crown Air Systems,CKR,CROWN AIR,United States,N
1930,Crown Airways,CRO,CROWN AIRWAYS,United States,Y
1931,Crownair,CRW,REGAL,Canada,N
1932,Cruiser Linhas Aereas,VCR,VOE CRUISER,Brazil,N
1933,Cryderman Air Service,CTY,CENTURY,United States,N
1934,Crystal Shamrock,CYT,CRYSTAL-AIR,United States,N
1935,Cubana de Aviación,CUB,CUBANA,Cuba,Y
1936,Cumberland Airways (Nicholson Air Service),CBL,CUMBERLAND,United States,N
1937,Custom Air Transport,CTT,CATT,United States,N
1938,Cygnus Air,RGN,CYGNUS AIR,Spain,N
1939,Cyprair Tours,CYC,CYPRAIR,Cyprus,N
1940,Cypress Airlines,CYS,SKYBIRD,Canada,N
1941,Cyprus Airways,CYP,CYPRUS,Cyprus,Y
1942,Cyprus Turkish Airlines,,,Turkey,Y
1943,Czech Air Force,CEF,CZECH AIR FORCE,Czech Republic,N
1944,Czech Air Handling,AHD,AIRHANDLING,Czech Republic,N
1945,Czech Airlines,CSA,CSA-LINES,Czech Republic,Y
1946,Czech Government Flying Service,CIE,CZECHIA,Czech Republic,N
1947,D & D Aviation,DDA,DUSTY,United States,N
1948,D&K Aviation,DNK,DIRECT JET,United States,N
1949,DAP Helicopteros,DHE,HELIDAP,Chile,N
1950,DFS UK Limited,VLF,VOLANTE,United Kingdom,N
1951,DAS Air Cargo,DSR,DAIRAIR,Uganda,N
1952,DAS Airlines,RKC,DAS CONGO,Democratic Republic of the Congo,N
1953,DAT Danish Air Transport,DTR,DANISH,Denmark,Y
1954,DAT Enterprise Limited,ENT,DATENT,United Kingdom,N
1955,DERA Boscombe Down,BDN,GAUNTLET,United Kingdom,N
1956,DESNA,DSN,DESNA,Ukraine,N
1957,DETA Air,DET,SAMAL,Kazakhstan,N
1958,DGO Jet,DGO,DGO JET,Mexico,N
1959,DHL Aero Expreso,DAE,YELLOW,Panama,N
1960,DHL Air,DHK,WORLD EXPRESS,United Kingdom,N
1961,DHL Aviation,DHV,WORLDSTAR,South Africa,N
1962,DHL International,DHX,DILMUN,Bahrain,N
1963,DHL de Guatemala,JOS,,Guatemala,N
1964,DSWA,RSK,REDSKIN,United States,N
1965,Daallo Airlines,DAO,DALO AIRLINES,Djibouti,Y
1966,Dagestan Airlines,DAG,DAGAL,Russia,N
1967,Dahla Airlines,DHA,,Democratic Republic of Congo,N
1968,Daimler Chrysler Aviation,DCS,TWIN STAR,Germany,N
1969,Daimler-Chrysler,DCX,DAIMLER,United States,N
1970,Daka,DKA,,Kazakhstan,N
1971,Dala Air Services,DLR,DALA AIR,Nigeria,N
1972,Dalavia,KHB,DALAVIA,Russia,Y
