,Name,ICAO,Callsign,Country,Active
2950,Israel Aircraft Industries,IAI,ISRAEL AIRCRAFT,Israel,N
2951,Israeli Air Force,IAF,,Israel,N
2952,Israir,ISR,ISRAIR,Israel,Y
2953,Istanbul Airlines,IST,ISTANBUL,Turkey,N
2954,Itali Airlines,ACL,ITALI,Italy,N
2955,Italy First,IFS,RIVIERA,Italy,N
2956,Itek Air,IKA,ITEK-AIR,Kyrgyzstan,Y
2957,Ivoire Aero Services,IVS,IVOIRE AERO,Ivory Coast,N
2958,Ivoire Airways,IVW,IVOIRAIRWAYS,Ivory Coast,N
2959,Ivoire Jet Express,IJE,IVOIRE JET,Ivory Coast,N
2960,Iwamoto Crane Co Ltd,OIC,,Japan,N
2961,Ixair,IXR,X-BIRD,France,N
2962,Izair,IZM,IZMIR,Turkey,N
2963,Izhavia,IZA,IZHAVIA,Russia,N
2964,J C Bamford (Excavators),JCB,JAYSEEBEE,United Kingdom,N
2965,J P Hunt Air Carriers,RFX,REFLEX,United States,N
2966,J-Air,JLJ,J AIR,Japan,N
2967,JAL Express,JEX,JANEX,Japan,Y
2968,JALways,JAZ,JALWAYS,Japan,Y
2969,JDAviation,JDA,JAY DEE,United Kingdom,N
2970,JDP Lux,JDP,RED PELICAN,Luxembourg,N
2971,JHM Cargo Expreso,JHM,,Costa Rica,N
2972,JM Family Aviation,TQM,TACOMA,United States,N
2973,JMC Airlines,JMC,JAYEMMSEE,United Kingdom,N
2974,JSC Transport Automated Information Systems,,,Russia,N
2975,JS Air,JSJ,JS CHARTER,Pakistan,N
2976,JS Aviation,JES,JAY-ESS AVIATION,Mexico,N
2977,Jackson Air Services,JCK,JACKSON,Canada,N
2978,Jade Cargo International,JAE,JADE CARGO,China,N
2979,Jamahiriya Airways,JAW,JAW,Libya,N
2980,Jambo Africa Airlines,JMB,JAMBOAFRICA,Democratic Republic of Congo,N
2981,Jana-Arka,JAK,YANZAR,Kazakhstan,N
2982,Janair,JAX,JANAIR,United States,N
2983,Japan Air Commuter,JAC,COMMUTER,Japan,N
2984,Japan Aircraft Service,JSV,,Japan,N
2985,Japan Airlines,JAL,JAPANAIR,Japan,Y
2986,Japan Airlines Domestic,JAL,J-BIRD,Japan,Y
2987,Japan Asia Airways,JAA,ASIA,Japan,Y
2988,Japan Transocean Air,JTA,JAI OCEAN,Japan,Y
2989,Jat Airways,JAT,JAT,Serbia,N
2990,Jatayu Airlines,JTY,JATAYU,Indonesia,N
2991,Jazeera Airways,JZR,JAZEERA,Kuwait,Y
2992,Jeju Air,JJA,JEJU AIR,Republic of Korea,Y
2993,Jenney Beechcraft,JNY,JENAIR,United States,N
2994,Jeppesen Data Plan,XLD,,United States,N
2995,Jeppesen UK,JPN,JETPLAN,United Kingdom,N
2996,Jet Air,JEA,JETA,Poland,N
2997,Jet Air Group,JSI,SISTEMA,Russia,N
2998,Jet Airways,JAI,JET AIRWAYS,India,Y
2999,Jet Airways,,,United States,Y
3000,Jet Aspen Air Lines,JTX,JET ASPEN,United States,N
3001,Jet Aviation,PJS,JETAVIATION,Switzerland,N
3002,Jet Aviation Business Jets,BZF,BIZFLEET,United States,N
3003,Jet Center Flight Training,JCF,JET CENTER,Spain,N
3004,Jet Charter,JCT,JET CHARTER,United States,N
3005,Jetclub,,,Switzerland,N
3006,Jet Connection,JCX,JET CONNECT,Germany,N
3007,Jet Courier Service,DWW,DON JUAN,United States,N
3008,Jet East International,JED,JET EAST,United States,N
3009,Jet Executive International Charter,JEI,JET EXECUTIVE,Germany,N
3010,Jet Fighter Flights,RZA,RAZOR,Australia,N
3011,Jet Freighters,CFT,CASPER FREIGHT,United States,N
3012,Jet G&D Aviation,JGD,JET GEE-AND-DEE,Israel,N
3013,Jet Line International,MJL,MOLDJET,Moldova,N
3014,Jet Link,JEK,JET OPS,Israel,N
3015,Jet Link Aviation,HTL,HEARTLAND,United States,N
3016,Jet Norte,JNR,JET NORTE,Mexico,N
3017,Jet Rent,JRN,JET RENT,Mexico,N
3018,Jet Service,JDI,JEDI,Poland,N
3019,Jetstar Asia Airways,JSA,JETSTAR ASIA,Singapore,Y
3020,Jet Stream,JSM,JET STREAM,Moldova,N
3021,Jet Trans Aviation,JTC,JETRANS,Ghana,N
3022,Jet-2000,JTT,MOSCOW JET,Russia,N
3023,Jet-Ops,OPS,OPS-JET,United Arab Emirates,N
3024,Jet2.com,EXS,CHANNEX,United Kingdom,Y
3025,Jet4You,JFU,ARGAN,Morocco,Y
3026,JetAfrica Swaziland,OSW,BEVO,Swaziland,N
3027,JetBlue Airways,JBU,JETBLUE,United States,Y
3028,JetConnect,QNZ,QANTAS JETCONNECT,New Zealand,N
3029,JetMagic,JMG,JET MAGIC,Ireland,N
3030,Jetairfly,JAF,BEAUTY,Belgium,Y
3031,Jetall Holdings,JTL,FIREFLY,Canada,N
3032,Jetalliance,JAG,JETALLIANCE,Austria,N
3033,Jetclub,JCS,JETCLUB,Switzerland,N
3034,Jetcorp,UEJ,JETCORP,United States,N
3035,Jetcraft Aviation,JCC,JETCRAFT,Australia,N
3036,Jetex Aviation,JXA,,Lebanon,N
3037,Jetflite,JEF,JETFLITE,Finland,Y
3038,Jetfly Airlines,JFL,LINEFLYER,Austria,N
3039,Jetgo International,JIC,JIC-JET,Thailand,N
3040,Jetlink Express,JLX,KEN JET,Kenya,N
3041,Jetlink Holland,JLH,,Netherlands,N
3042,Jetnova de Aviacion Ejecutiva,JNV,JETNOVA,Spain,N
3043,Jetpro,JPO,JETPRO,Mexico,N
3044,Jetran Air,MDJ,JETRAN AIR,Romania,N
3045,Jetrider International,JRI,JETRIDER,United Kingdom,N
3046,Jets Ejecutivos,JEJ,MEXJETS,Mexico,N
3047,Jets Personales,JEP,JET PERSONALES,Spain,N
3048,Jets Y Servicios Ejecutivos,JSE,SERVIJETS,Mexico,N
3049,JetsGo,JGO,JETSGO,Canada,N
3050,Jetstar Airways,JST,JETSTAR,Australia,Y
3051,Jetstream Air,JSH,STREAM-AIR,Hungary,N
3052,Jetstream Executive Travel,JXT,VANNIN,United Kingdom,N
3053,Jett Paqueteria,JPQ,JETT PAQUETERIA,Mexico,N
3054,Jett8 Airlines Cargo,JEC,,Singapore,N
3055,Jettime,JTG,JETTIME,Denmark,N
3056,Jettrain Corporation,JTN,JETTRAIN,United States,N
3057,Jetways of Iowa,JWY,JETWAYS,United States,N
3058,Jetx Airlines,JXX,JETBIRD,Iceland,N
3059,Jibair,JIB,JIBAIRLINE,Djibouti,N
3060,Jigsaw Project,JSW,JIGSAW,United Kingdom,N
3061,Jim Hankins Air Service,HKN,HANKINS,United States,N
3062,Jim Ratliff Air Service,RAS,SHANHIL,United States,N
3063,Joanas Avialinijos,JDG,LADYBLUE,Lithuania,N
3064,Job Air,JBR,JOBAIR,Czech Republic,N
3065,Johnson Air,JHN,AIR JOHNSON,United States,N
3066,Johnsons Air,JON,JOHNSONSAIR,Ghana,N
3067,Johnston Airways,JMJ,JOHNSTON,United States,N
3068,Joint Military Commission,JMM,JOICOMAR,Sudan,N
3069,Jomartaxi Aereo,JMT,JOMARTAXI,Mexico,N
3070,Jonsson,ODI, H Air Taxi,ODINN,N
3071,Jordan Aviation,JAV,JORDAN AVIATION,Jordan,N
3072,Jordan International Air Cargo,JCI,,Jordan,N
3073,Jorvik,JVK,ISLANDIC,Iceland,N
3074,Ju-Air,JUR,JUNKERS,Switzerland,N
3075,Juanda Flying School,JFS,JAEMCO,Indonesia,N
3076,Juba Cargo Services & Aviation Company,JUC,JUBA CARGO,Sudan,N
3077,Jubba Airways,JUB,JUBBA,Somali Republic,N
3078,Jubilee Airways,DKE,DUKE,United Kingdom,N
3079,Juneyao Airlines,DKH,JUNEYAO AIRLINES,China,Y
3080,Justair Scandinavia,MEY,MELODY,Sweden,N
3081,Justice Prisoner and Alien Transportation System,DOJ,JUSTICE,United States,N
3082,K D Air Corporation,KDC,KAY DEE,Canada,N
3083,K S Avia,KSA,SKY CAMEL,Latvia,N
3084,K-Mile Air,KMI,KAY-MILE AIR,Thailand,N
3085,KD Avia,KNI,KALININGRAD AIR,Russia,Y
3086,KLM Cityhopper,KLC,CITY,Netherlands,Y
3087,KLM Helicopter,KLH,KLM HELI,Netherlands,N
3088,KLM Royal Dutch Airlines,KLM,KLM,Netherlands,Y
3089,Kabo Air,QNK,KABO,Nigeria,N
3090,Kahama Mining Corporation,KMC,KAHAMA,Tanzania,N
3091,Kaiser Air,KAI,KAISER,United States,N
3092,Kalitta Air,CKS,CONNIE,United States,N
3093,Kalitta Charters,KFS,KALITTA,United States,N
3094,Kallat El Saker Air Company,KES,KALLAT EL SKER,Libya,N
3095,Kam Air,KMF,KAMGAR,Afghanistan,Y
3096,Kampuchea Airlines,KMP,KAMPUCHEA,Cambodia,N
3097,Kanaf-Arkia Airlines,KIZ,,Israel,N
3098,Kanfey Ha'emek Aviation,KHE,KANFEY HAEMEK,Israel,N
3099,Kansas State University,KSU,K-STATE,United States,N
3100,Karat,AKT,AVIAKARAT,Russia,N
3101,Karibu Airways Company,KRB,KARIBU AIR,Tanzania,N
3102,Karlog Air Charter,KLG,KARLOG,Denmark,N
3103,Karthago Airlines,KAJ,KARTHAGO,Tunisia,N
3104,Kartika Airlines,KAE,KARTIKA,Indonesia,N
3105,Kata Transportation,KTV,KATAVIA,Sudan,N
3106,Katekavia,KTK,KATEKAVIA,Russia,N
3107,Kato Airline,KAT,KATO-AIR,Norway,N
3108,Kavminvodyavia,MVD,AIR MINVODY,Russia,Y
3109,Kavouras Inc,XKA,,United States,N
3110,Kaz Agros Avia,KRN,ANTOL,Kazakhstan,N
3111,Kaz Air West,KAW,KAZWEST,Kazakhstan,N
3112,Kazan Aviation Production Association,KAO,KAZAVAIA,Russia,N
3113,Kazan Helicopters,KPH,KAMA,Russia,N
3114,Kazavia,KKA,KAKAIR,Kazakhstan,N
3115,Kazaviaspas,KZS,SPAKAZ,Kazakhstan,N
3116,Keenair Charter -,JFK,KEENAIR,United Kingdom,N
3117,Kelix Air,KLX,KELIX,Nigeria,N
3118,Kelner Airways,FKL,KELNER,Canada,N
3119,Kelowna Flightcraft Air Charter,KFA,FLIGHTCRAFT,Canada,N
3120,Kendell Airlines,KDA,KENDELL,Australia,Y
3121,Kenmore Air,KEN,KENMORE,United States,Y
3122,Kenn Borek Air,KBA,BOREK AIR,Canada,N
3123,Kent Aviation,KAH,DEKAIR,Canada,N
3124,Kenya Airways,KQA,KENYA,Kenya,Y
3125,Kevis,KVS,KEVIS,Kazakhstan,N
3126,Key Airlines,KEY,KEY AIR,United States,N
3127,Key Lime Air,LYM,KEY LIME,United States,N
3128,Keystone Aerial Surveys,FTP,FOOTPRINT,United States,N
3129,Keystone Air Services,KEE,KEYSTONE,Canada,N
3130,Khalifa Airways,KZW,KHALIFA AIR,Algeria,N
3131,Kharkov Aircraft Manufacturing Company,WKH,WEST-KHARKOV,Ukraine,N
3132,Khazar,KHR,KHAZAR,Turkmenistan,N
3133,Khoezestan Photros Air Lines,KHP,PHOTROS AIR,Iran,N
3134,Khoriv-Avia,KRV,KHORIV-AVIA,Ukraine,N
3135,Khors Aircompany,KHO,AIRCOMPANY KHORS,Ukraine,N
3136,Khyber Afghan Airlines,KHY,KHYBER,Afghanistan,N
3137,Kiev Aviation Plant,UAK,AVIATION PLANT,Ukraine,N
3138,King Aviation,KNG,KING,United Kingdom,N
3139,Kingfisher Air Services,BEZ,SEA BREEZE,United States,N
3140,Kingfisher Airlines,KFR,KINGFISHER,India,Y
3141,Knighthawk Air Express,KNX,KNIGHT FLIGHT,Canada,N
3142,Kingston Air Services,KAS,KINGSTON AIR,Canada,N
3143,Kinnarps,KIP,KINNARPS,Sweden,N
3144,Kinshasa Airways,KNS,KINSHASA AIRWAYS,Democratic Republic of the Congo,N
3145,Kirov Air Enterprise,KTA,VYATKA-AVIA,Russia,N
3146,Kish Air,IRK,KISHAIR,Iran,Y
3147,Kitty Hawk Aircargo,KHA,AIR KITTYHAWK,United States,N
3148,Kitty Hawk Airways,KHC,CARGO HAWK,United States,N
3149,Kiwi International Air Lines,KIA,KIWI AIR,United States,N
3150,Knight Air,KNA,KNIGHTAIR,Canada,N
3151,Knighthawk Express,KHX,RIZZ,United States,N
3152,Knights Airlines,KGT,KNIGHT-LINER,Nigeria,N
3153,Koanda Avacion,KOA,KOANDA,Spain,N
3154,Koda International,OYE,KODA AIR,Nigeria,N
3155,Kogalymavia Air Company,KGL,KOGALYM,Russia,Y
3156,Kom Activity,KOM,COMJET,Netherlands,N
3157,Komiaviatrans State Air Enterprise,KMA,KOMI AVIA,Russia,N
3158,Komiinteravia,KMV,KOMIINTER,Russia,N
3159,Komsomolsk-on-Amur Air Enterprise,KNM,KNAAPO,Russia,N
3160,Koob-Corp - 96 KFT,KOB,AUTOFLEX,Hungary,N
3161,Korean Air,KAL,KOREANAIR,Republic of Korea,Y
3162,Kosmas Air,KMG,KOSMAS CARGO,Serbia,N
3163,Kosmos,KSM,KOSMOS,Russia,Y
3164,Kosova Airlines,KOS,KOSOVA,Serbia,N
3165,Kovar Air,WOK,WOKAIR,Czech Republic,N
3166,Krasnojarsky Airlines,KJC,KRASNOJARSKY AIR,Russia,Y
3167,Kremenchuk Flight College,KFC,KREMENCHUK,Ukraine,N
3168,Krimaviamontag,KRG,AVIAMONTAG,Ukraine,N
3169,Kroonk Air Agency,KRO,KROONK,Ukraine,N
3170,Krylo Airlines,KRI,Krylo,Russia,N
3171,Krym,KYM,CRIMEA AIR,Ukraine,N
3172,Krystel Air Charter,OPC,OPTIC,United Kingdom,N
3173,Kuban Airlines,KIL,AIR KUBAN,Russia,Y
3174,Kunpeng Airlines,KPA,KUNPENG,China,N
3175,Kurzemes Avio,KZA,,Russia,N
3176,Kustbevakningen,KBV,SWECOAST,Sweden,N
3177,Kuwait Airways,KAC,KUWAITI,Kuwait,Y
3178,Kuzu Airlines Cargo,KZU,KUZU CARGO,Turkey,Y
3179,Kvadro Aero,QVR,PEGASO,Kyrgyzstan,N
3180,Kwena Air,KWN,KWENA,South Africa,N
3181,Kyrgyz Airlines,KGZ,BERMET,Kyrgyzstan,N
3182,Kyrgyz Trans Avia,KTC,DINARA,Kyrgyzstan,N
3183,Kyrgyzstan,LYN,ALTYN AVIA,Kyrgyzstan,N
3184,Kyrgyzstan Airlines,KGA,KYRGYZ,Kyrgyzstan,N
3185,Kyrgyzstan Department of Aviation,DAM,FLIGHT RESCUE,Kyrgyzstan,N
3186,Kyrgz General Aviation,KGB,KEMIN,Kyrgyzstan,N
3187,Kibris T,KYV,AIRKIBRIS,Turkey,N
3188,L A Helicopter,LAH,STAR SHIP,United States,N
3189,L J Aviation,LJY,ELJAY,United States,N
3190,L R Airlines,LRB,LADY RACINE,Czech Republic,N
3191,L&L Flygbildteknik,PHO,PHOTOFLIGHT,Sweden,N
3192,L'Express,LEX,LEX,United States,N
3193,L-3 Communications Flight Internation Aviation,FNT,FLIGHT INTERNATIONAL,United States,N
3194,L.A.B. Flying Service,LAB,LAB,United States,N
3195,LACSA,LRC,LACSA,Costa Rica,Y
3196,LADE - Lineas Aereas Del Estado,LDE,LADE,Argentina,N
3197,LAI - Linea Aerea IAACA,BNX,AIR BARINAS,Venezuela,N
3198,LAN Airlines,LAN,LAN,Chile,Y
3199,LAN Argentina,DSM,LAN AR,Argentina,Y
3200,LAN Cargo,LCO,LAN CARGO,Chile,N
3201,LAN Dominica,LNC,LANCANA,Dominican Republic,N
3202,LAN Express,LXP,LANEX,Chile,Y
3203,LAN Peru,LPE,LANPERU,Peru,Y
3204,LANSA,LSA,INTERNACIONAL,Dominican Republic,N
3205,LAP Colombia - Lineas Aereas Petroleras,APT, S.A.,LAP,N
3206,LASTP,OTN,LASTP,S,N
3207,LC Busre,LCB,BUSRE,Peru,N
3208,LOT Polish Airlines,LOT,POLLOT,Poland,Y
3209,LTE International Airways,LTE,FUN JET,Spain,Y
3210,LTU Austria,LTO,BILLA TRANSPORT,Austria,Y
3211,LTU International,LTU,LTU,Germany,N
3212,LTV Jet Fleet Corporation,JFC,JET-FLEET,United States,N
3213,LUKoil-Avia,LUK,LUKOIL,Russia,N
3214,La Ronge Aviation Services,ASK,AIR SASK,Canada,N
3215,La Valenciana Taxi Aereo,LVT,TAXIVALENCIANA,Mexico,N
3216,Labcorp,SKQ,SKYLAB,United States,N
3217,Labrador Airways,LAL,LAB AIR,Canada,N
3218,Lagun Air,JEV,,Spain,N
3219,Lake Havasu Air Service,HCA,HAVASU,United States,N
3220,Lakeland Aviation,LKL,LAKELAND,United States,N
3221,Laker Airways,LKR,LAKER,United States,N
3222,Laker Airways (Bahamas),LBH,LAKER BAHAMAS,United States,N
3223,Lamra,LMR,LAMAIR,Sudan,N
3224,Lanaes Aereas Trans Costa Rica,TCR,TICOS,Costa Rica,N
3225,Landsflug,ISL,ISLANDIA,Iceland,N
3226,Langtry Flying Group,PAP,PROFLIGHT,United Kingdom,N
3227,Lankair,LKN,Lankair,Sri Lanka,N
3228,Lanza Air,LZA,AEROLANZA,Spain,N
3229,Lanzarote Aerocargo,LZT,BARAKA,Spain,N
3230,Lao Air Company,LLL,LAVIE,Lao Peoples Democratic Republic,N
3231,Lao Airlines,LAO,LAO,Lao Peoples Democratic Republic,Y
3232,Lao Capricorn Air,LKA,NAKLOA,Lao Peoples Democratic Republic,N
3233,Laoag International Airlines,LPN,LAOAG AIR,Philippines,N
3234,Laredo Air,LRD,LAREDO AIR,United States,N
3235,LatCharter,LTC,LATCHARTER,Latvia,Y
3236,Latvian Air Force,LAF,LATVIAN AIRFORCE,Latvia,N
3237,Lauda Air,LDA,LAUDA AIR,Austria,Y
3238,Lauda Air Italy,LDI,LAUDA ITALY,Italy,N
3239,Laughlin Express,LEP,LAUGHLIN EXPRESS,United States,N
3240,Laus,LSU,LAUS AIR,Croatia,N
3241,Lawrence Aviation,LAR,LAWRENCE,United States,N
3242,Layang-Layang Aerospace,LAY,LAYANG,Malaysia,N
3243,Lease-a-Plane International,LPL,LEASE-A-PLANE,United States,N
3244,Lebanese Air Transport,LAQ,LAT,Lebanon,N
3245,Lebanese Air Transport (Charter),LAT,LEBANESE AIR,Lebanon,N
3246,Lebanon Airport Development Corporation,LAD,LADCO-AIR,United States,N
3247,Leconte Airlines,LCA,LECONTE,United States,N
3248,Leeward Islands Air Transport,LIA,LIAT,Antigua and Barbuda,Y
3249,Legend Airlines,LGD,LEGENDARY,United States,N
3250,Leisure Air,LWD,LEISURE WORLD,United States,N
3251,Lentini Aviation,LEN,LENTINI,United States,N
3252,Leo-Air,LOR,LEO CHARTER,South Africa,N
3253,Leonsa De Aviacion,LEL,LEONAVIA,Spain,N
3254,Libyan Airlines,LYW,LIBYAN AIRWAYS,Libya,N
3255,Libyan Arab Airlines,LAA,LIBAIR,Libya,Y
3256,Libyan Arab Air Cargo,LCR,LIBAC,Libya,N
3257,Lid Air,LIQ,,Sweden,N
3258,Lignes Aeriennes Congolaises,LCG,CONGOLAISE,Democratic Republic of the Congo,N
3259,Lignes Aeriennes Du Tchad,LKD,LATCHAD,Chad,N
3260,Lignes Mauritaniennes Air Express,LME,LIMAIR EXPRESS,Mauritania,N
3261,Lignes Nationales Aeriennes - Linacongo,GCB,LINACONGO,Republic of the Congo,N
3262,Lincoln Air National Guard,GDQ,,United States,N
3263,Lincoln Airlines,LRT,,Australia,N
3264,Lindsay Aviation,LSY,LINDSAY AIR,United States,N
3265,Linea Aerea Costa Norte,NOT,COSTA NORTE,Chile,N
3266,Linea Aerea Mexicana de Carga,LMC,LINEAS DECARGA,Mexico,N
3267,Linea Aerea SAPSA,LNP,SAPSA,Chile,N
3268,Linea Aerea de Fumig Aguas Negras,NEG,AGUAS NEGRAS,Chile,N
3269,Linea Aerea de Servicio Ejecutivo Regional,LER,LASER,Venezuela,N
3270,Linea De Aeroservicios,LSE,,Chile,N
3271,Linea Turistica Aerotuy,TUY,AEREOTUY,Venezuela,N
3272,Lineas Aereas Alaire S.L.,ALR,AEROLAIRE,Spain,N
3273,Lineas Aereas Azteca,LCD,LINEAS AZTECA,Mexico,N
3274,Lineas Aereas Canedo LAC,LCN,CANEDO,Bolivia,N
3275,Lineas Aereas Comerciales,LCM,LINEAS COMERCIALES,Mexico,N
3276,Lineas Aereas Ejectuivas De Durango,EDD,LINEAS DURANGO,Mexico,N
3277,Lineas Aereas Eldorado,EDR,ELDORADRO,Colombia,N
3278,Lineas Aereas Federales,FED,FEDERALES,Argentina,N
3279,Lineas Aereas Monarca,LMN,LINEAS MONARCA,Mexico,N
3280,Lineas Aereas San Jose,LIJ,LINEAS JOSE,Mexico,N
3281,Lineas Aereas del Humaya,UMA,HUMAYA,Mexico,N
3282,Linex,LEC,LECA,Central African Republic,N
3283,Linhas Aereas Santomenses,SMS,SANTOMENSES,S,N
3284,Linhas A,LAM,MOZAMBIQUE,Mozambique,Y
3285,Link Airways of Australia,LAW,,Australia,N
3286,Lion Air Services,WGT,WORLDGATE,United Kingdom,N
3287,Lion Mentari Airlines,LNI,LION INTER,Indonesia,Y
3288,Lions-Air,LEU,LIONSAIR,Switzerland,N
3289,Lithuanian Air Force,LYF,LITHUANIAN AIRFORCE,Lithuania,N
3290,Little Red Air Service,LRA,LITTLE RED,Canada,N
3291,Livingston,LVG,LIVINGSTON,Italy,N
3292,Lloyd Aereo Boliviano,LLB,LLOYDAEREO,Bolivia,N
3293,Lnair Air Services,LNA,ELNAIR,Spain,N
3294,Lockheed Air Terminal,XLG,,United States,N
3295,Lockeed Aircraft Corporation,LAC,LOCKHEED,United States,N
3296,Lockheed DUATS,XDD,,United States,N
3297,Lockheed Martin Aeronautics,CBD,CATBIRD,United States,N
3298,Lockheed Martin Aeronautics Company,LNG,LIGHTNING,United States,N
3299,Logan Air,LOG,LOGAN,United Kingdom,N
3300,Lom Praha Flying School,CLV,AEROTRAINING,Czech Republic,N
3301,Lomas Helicopters,LMS,LOMAS,United Kingdom,N
3302,London City Airport Jet Centre,LCY,LONDON CITY,United Kingdom,N
3303,London Executive Aviation,LNX,LONEX,United Kingdom,N
3304,London Flight Centre (Stansted),LOV,LOVEAIR,United Kingdom,N
3305,London Helicopter Centres,LHC,MUSTANG,United Kingdom,N
3306,Lone Star Airlines,LSS,LONE STAR,United States,N
3307,Long Island Airlines,ORA,LONG ISLAND,United States,N
3308,Longtail Aviation,LGT,LONGTAIL,Bermuda,N
3309,Lorraine Aviation,LRR,LORRAINE,France,N
3310,Los Cedros Aviacion,LSC,CEDROS,Chile,N
3311,Lotus Air,TAS,LOTUS FLOWER,Egypt,N
3312,Luchtvaartmaatschappij Twente,LTW,TWENTAIR,Netherlands,N
3313,Lucky Air,LKE,LUCKY AIR,China,N
3314,Luft Carago,LUT,LUGO,South Africa,N
3315,Luftfahrt-Vermietungs-Dienst,LVD,AIR SANTE,Austria,N
3316,Luftfahrtgesellschaft Walter,LGW,WALTER,Germany,Y
3317,Lufthansa,DLH,LUFTHANSA,Germany,Y
3318,Lufthansa Cargo,GEC,LUFTHANSA CARGO,Germany,Y
3319,Lufthansa CityLine,CLH,HANSALINE,Germany,Y
3320,Lufthansa Systems,,,Germany,N
3321,Lufthansa Technik,LHT,LUFTHANSA TECHNIK,Germany,N
3322,Lufttaxi Fluggesellschaft,LTF,Garfield,Germany,N
3323,Lufttransport,LTR,LUFT TRANSPORT,Norway,Y
3324,Luhansk,LHS,ENTERPRISE LUHANSK,Ukraine,N
3325,Lund University School of Aviation,UNY,UNIVERSITY,Sweden,N
3326,Luxair,LGL,LUXAIR,Luxembourg,Y
3327,Luxaviation,LXA,RED LION,Luxembourg,N
3328,Luxembourg Air Rescue,LUV,LUX RESCUE,Luxembourg,N
3329,Luxflight Executive,LFE,LUX EXPRESS,Luxembourg,N
3330,Luxor Air,LXO,,Egypt,N
3331,Luzair,LUZ,LISBON JET,Portugal,N
3332,Lviv Airlines,UKW,UKRAINE WEST,Ukraine,N
3333,Lydd Air,LYD,LYDDAIR,United Kingdom,N
3334,Lynch Flying Service,LCH,LYNCH AIR,United States,N
3335,Lynden Air Cargo,LYC,LYNDEN,United States,N
3336,Lynx Air International,LXF,LYNX FLIGHT,United States,N
3337,Lynx Aviation,LYX,LYNX AIR,Pakistan,N
3338,L,LPR,LAPA,Argentina,Y
3339,L,LAU,SURAMERICANO,Colombia,N
3340,M & N Aviation,JNH,JONAH,United States,N
3341,MAC Fotografica,MCF,MAC FOTO,Spain,N
3342,MANAG'AIR,MRG,MANAG'AIR,France,N
3343,MAP-Management and Planung,MPJ,MAPJET,Austria,N
3344,MAS Airways,TFG,TRAFALGAR,United Kingdom,N
3345,MasAir,MAA,MAS CARGA,Mexico,Y
3346,MAT Macedonian Airlines,MAK,MAKAVIO,Macedonia,Y
3347,MCC Aviation,MCC,DISCOVERY,South Africa,N
3348,MG Aviacion,MGA,MAG AVACION,Spain,N
3349,MIA Airlines,JLA,SALLINE,Romania,N
3350,MIAT Mongolian Airlines,MGL,MONGOL AIR,Mongolia,Y
3351,MIT Airlines,MNC,MUNCIE,Canada,N
3352,MK Airline,MKA,KRUGER-AIR,Ghana,N
3353,MNG Airlines,MNB,BLACK SEA,Turkey,Y
3354,MSR Flug-Charter,EBF,SKYRUNNER,Germany,N
3355,MTC Aviacion,MCV,MTC AVIACION,Mexico,N
3356,Mac Aviation,MAQ,MAC AVIATION,Spain,N
3357,Mac Dan Aviation Corporation,MCN,MAC DAN,United States,N
3358,MacKnight Airlines,MTD,,Australia,N
3359,Macair Airlines,MCK,,Australia,Y
3360,Macedonian Airlines,MCS,MACAIR,Greece,N
3361,Madina Air,MDH,MADINA AIR,Libya,N
3362,Maersk,,,Denmark,Y
3363,Magic Blue Airlines,MJB,MAGIC BLUE,Netherlands,N
3364,Magna Air,MGR,MAGNA AIR,Austria,N
3365,Mahalo Air,MLH,MAHALO,United States,N
3366,Mahan Air,IRM,MAHAN AIR,Iran,Y
3367,Mahfooz Aviation,MZS,MAHFOOZ,Gambia,N
3368,Maine Aviation,MAT,MAINE-AV,United States,N
3369,Majestic Airlines,MAJ,MAGIC AIR,United States,N
3370,Mak Air,AKM,MAKAIR,Kazakhstan,N
3371,Malagasy Airlines,MLG,,Madagascar,N
3372,Malawi Express,MLX,MALAWI EXPRESS,Malawi,N
3373,Malaya Aviatsia Dona,MKK,AEROKEY,Russia,N
3374,Malaysia Airlines,MAS,MALAYSIAN,Malaysia,Y
3375,Mali Air,MAE,MALI AIREXPRESS,Austria,N
3376,Mali Air Express,VXP,AVION EXPRESS,Mali,N
3377,Mali Airways,MTZ,MALI AIRWAYS,Mali,N
3378,Malila Airlift,MLC,MALILA,Democratic Republic of the Congo,N
3379,Mall Airways,MLS,MALL-AIRWAYS,United States,N
3380,Malmo Aviation,SCW,SCANWING,Sweden,Y
3381,Malmoe Air Taxi,LOD,LOGIC,Sweden,N
3382,Malmö Aviation,SCW,Scanwings,Sweden,Y
3383,Malta Air Charter,MAC,MALTA CHARTER,Malta,Y
3384,Malta Wings,MWS,MALTA WINGS,Malta,N
3385,Malév,MAH,MALEV,Hungary,Y
3386,Manaf International Airways,MLB,MANAF,Burundi,N
3387,Mandala Airlines,MDL,MANDALA,Indonesia,Y
3388,Mandarin Airlines,MDA,Mandarin,Taiwan,Y
3389,Mango,MNO,TULCA,South Africa,Y
3390,Manhattan Air,MHN,MANHATTAN,United Kingdom,N
3391,Manitoulin Air Services,MTO,MANITOULIN,Canada,N
3392,Mann Air,MNR,TEEMOL,United Kingdom,N
3393,Mannion Air Charter,MAN,MANNION,United States,N
3394,Mantrust Asahi Airways,MTS,MANTRUST,Indonesia,N
3395,Manx Airlines,MNX,MANX,United Kingdom,N
3396,Maple Air Services,MAD,MAPLE AIR,Canada,N
